sparknom;sparkadresse1;sparkadresse2;sparkcp;sparkdescription;svillnom;svehinumimma;image;smodenom;smarqnom;icapacite;bvehielectrique;bdisponiblevehicule;geo_location;options
Place Mangin;Entre bd des Martyrs et bld Victor Hugo;;44000;"TAN - Arrêt Mangin
	Tram lignes 2 et 3
	Bus ligne 26

bicloo - Station n°81 Mangin";Nantes;FY-917-SA;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/c5263810699b031d578a9e54a8f77095;Clio V Hybride Automatique;Renault;2;non;oui;47.20088,-1.54487;Bluetooth
Saint Donatien;Place du 51ème Régiment d'Artillerie;;44000;"Place du 51ème Régiment d'Artillerie 
 
	A côté du magasin Picard 
 
	- Tan : Arrêt St-Donatien Ligne : chronobus ligne C1 
 
	- Bicloo - station n°97 Saint-Donatien";Nantes;EV-256-HT;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/46d35b5bc731ac71749e8062fd610397;208;Peugeot;5;non;oui;47.2287,-1.54005;Siège Bébé
République;5 Place de la République;;44200;"5 place de la République
	A côté du restaurant Côté Jardin 
 
	TAN : 
 
	Arrêt République (Chronobus ligne C5, Bus ligne 26) 
 
	BICLOO : 
 
	Station n°46 Place République";Nantes;EG-511-KY;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/bc0d441e9242204a143e50c9c49db8c3;Clio IV;Renault;5;non;non;47.20508,-1.55515;"Siège Bébé;Réhausseur"
Talensac;6 rue Talensac;;44000;"6 rue Talensac, Devant l'entrée du magasin Weldom 
 
	Arrêts TAN : 
 
	- Talensac chronobus ligne C2 + bus lignes 12 et 23 
 
	- 50 Otages tram ligne 2 
 
	Station bicloo : numéro 21 Marché Talensac Sud";Nantes;EV-372-HW;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/2f66f7053cdf8c10df9f47adab94e952;208;Peugeot;5;non;oui;47.22141,-1.55654;Siège Bébé
Rond-Point De Paris;10/12 Boulevard Jules-Verne;;44000;"10/12 Boulevard Jules Verne
	En face du carrefour city
	  
 
	TAN - Arrêt rond point de Paris
	Chrono Bus ligne C1
	Bus lignes 10 
 
	  
 
	Bicloo - station n°97 Saint Donatien";Nantes;EV-115-ZS;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/28c1a6c06e1c4df7fda704571ff76765;208;Peugeot;5;non;non;47.2348,-1.53488;Bluetooth
Tortière;5 Rue Félix Lemoine;;44300;"A côté de la Boucherie du Sarthois 
 
	Tan - Arrêt Lemoine 
 
	Bus lignes 10 et 23";Nantes;FW-888-ND;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/f72dd89515aa35d4e33f4ebe0a80d353;Clio V Hybride Automatique;Renault;5;non;oui;47.23594,-1.54673;"Bluetooth;Réhausseur"
Saint Mihiel;27 Rue Chateaubriand;;44000;"TAN - Arrêt St Mihiel  
 
	Chronobus ligne C2 et C6
	Bus lignes 12 et 23
	Arrêt St Mihiel
	Tram ligne 2

bicloo - Station n°65
	Cours Sully";Nantes;EG-280-KX;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/785386204f2b3cbb051ffbfb95916ffe;Clio IV;Renault;5;non;non;47.22264,-1.55378;
Vincent Gâche (Voiture + Camion);30 Boulevard Vincent Gache;;44200;"TAN - Arrêt Vincent Gache
	Tram lignes 2 et 3
	Chronobus ligne C5 
 
	Navette aéroport 
 
	Bicloo Station n°47 Martyrs Nantais";Nantes;FA-100-KJ;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/d5904e121529521c401941d5fc9a8f0c;Kangoo;Renault;2;non;oui;47.20598,-1.54724;Bluetooth
Sainte Anne;1 Place Charles Lechat;;44000;"Place Charles Lechat 
 
	TAN - Arrêt Place Lechat 
 
	Chronobus ligne C1 
 
	bicloo - station Saint Aignan n°89";Nantes;FL-141-WJ;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/9da22083cf231a3332a5c9a1133db31f;208;Peugeot;5;non;oui;47.20392,-1.58111;
Sainte Thérèse;Place de l'église Ste Thérèse;Tan : Arrêt Alexandre Vincent Sainte-Thérèse (Tram ligne 3);44000;"Entre le bd Boulay Paty et la rue de la Prime 
 
	Devant l'entrée de 'l'église rouge'

TAN - Arrêt Alexandre Vincent Sainte-Thérèse
	Tram ligne 3";Nantes;EW-440-CD;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/a9e210f09c316d4ad9b587a196fddbce;208;Peugeot;5;non;oui;47.23232,-1.57715;"Siège Bébé;Réhausseur"
Toutes-Aides;3 place Gabriel Trarieux;;44300;"3 place Gabriel Trarieux 
 
	Au niveau du rond point face au C.R.E.P.S 
 
	  
 
	TAN: Arrêt Toutes Aides ligne 10, 12 et 87 
 
	Bicloo: Station n°123 Trarieux";Nantes;EV-110-HW;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/87a161d6e86b317efb0a370f3f5e0e27;208;Peugeot;5;non;non;47.2263,-1.52214;Siège Bébé
Tripode;Boulevard Général de Gaulle;;44000;"Boulevard du Général de Gaulle (en face de la rue Konrad Adenauer) 
 
	- Tan : Arrêt de Busway (ligne 4) Tripode 
 
	- Bicloo - Station n°78 De Gaulle";Nantes;EG-894-RS;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/7f369f01ff90642926c0695190f427a0;Clio IV;Renault;5;non;oui;47.20735,-1.54016;
Viarme;22 place Viarme;;44000;"22 place viarme
	En face de la boulangerie Clémentalice 
 
	Arrêt TAN Viarme - Talensac Tram ligne 3 
 
	Station Bicloo n°18 Place Viarme";Nantes;EG-698-KW;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/aa5cb34103700266ee6b2cb6eb5f79ba;Clio IV;Renault;5;non;oui;47.2216,-1.56328;Siège Bébé
Zola (Voiture + Camion);110 boulevard de l'Egalité;;44000;"En face de Monceau Fleurs

TAN - Arrêt Zola
	Bus lignes 10,11 et 23";Nantes;EV-446-HT;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/10212d698293e590937138f103686644;208;Peugeot;5;non;non;47.21297,-1.58613;Réhausseur
